Variable_A,Variable_B,Variable_C,Variable_D,Variable_E,Variable_F,Variable_G
Test Engineer,10+ years,,,,57.0,58973213
General Manager,9 years,,,,72.0,55298110
Traffic Officer,8 years,,,,56.0,53856548
Pro Unlimited at Genentech,2 years,"  Borrower added on 02/15/12 > This loan will be used to pay off credit card debt in full. Excellent repayment history, stable employment.<br>",,,,1390104
Manager,10+ years,,,,70.0,42732600
Advertising Executive,6 years,,,,,71346060
Gulf Bend MHMR,2 years,,,,,989129
problem solver (similar to assistant man,6 years,,,,72.0,54199238
,,,,,40.0,15419524
,10+ years,,,,48.0,12428727
Truck Driver,3 years,,,,,59613078
RDA,6 years,,,,77.0,10388929
PHLEBOTOMIST,10+ years,,,,,31136240
Marketing Manager,< 1 year,,,,27.0,43809176
Hospital Financial Models Manager,2 years,  Borrower added on 10/02/13 > Loan will be used to pay off credit cards in a fixed term with a fixed rate with expectation of paying the loan off earlier than 60 months.<br>,,,6.0,9386766
Lead tech,10+ years,,,,,59598890
Lecturer,2 years,,,,,65782286
Deputy,10+ years,,,,35.0,71241373
Media News,10+ years,  Borrower added on 10/21/11 > These funds will assist me in lowering my overall debt<br/> Borrower added on 10/23/11 > I will be able to pay off all of my credit cards with this loan and have lower monthly payments.<br/>,,,,1224465
Corrections Officer,10+ years,,,,52.0,10889578
HVAC technician,10+ years,,,,,13176897
teller,< 1 year,,,,51.0,34120453
Supervisor/Administration,5 years,,,,1.0,41398853
Payroll,10+ years,,,,12.0,14267966
Human Resources ,7 years,,,,,15189102
,< 1 year,  Borrower added on 01/23/12 > Personal buisness loan<br>,,,13.0,1357002
Serco,< 1 year,  Borrower added on 11/12/11 > i need this loan to pay off my credit cart that has been outstanding for a while.<br>,,,15.0,1251921
1ST Sergeant,10+ years,,,,46.0,16520581
Counselor,1 year,,,,26.0,27769308
Teacher,10+ years,,,,3.0,10338197
NOVA Southeastern University,3 years,,,,66.0,930900
Bartender/Server,10+ years,,,,,33289240
The University of Tennessee,8 years,"  Borrower added on 08/22/13 > Due to dental work and other unexpected issues, I am over $5,000 in debt to credit cards.  I would like to pay them all off, and have only one monthly payment.  I do not want a credit card except for an emergency.<br>",,,,8537986
"Director, Solutions Management",< 1 year,,,,48.0,12012051
Licensed Addiction Counselor II,10+ years,,,,,64943898
Office Manager,10+ years,,,,46.0,43938561
Executive Vice President ,1 year,,,,18.0,18394358
Network Administrator,10+ years,,,,7.0,67059319
Consultant,1 year,,,,,11689088
REVENUE AGENT,5 years,,,,13.0,11954494
Materials Engineer,2 years,,,,,63137948
Maggianos,5 years,  Borrower added on 10/20/11 > Need some extra cash for a trip to California.<br/>,,,,1222931
IT,10+ years,,,,,64151906
,,,,,,2117327
machine tender,10+ years,,,,,47884419
American Mobile Healthcare,3 years,,,,,961025
Columbus Cardiology,< 1 year,,,,,1415586
Medical Center Radiology,10+ years,  Borrower added on 01/13/13 > consolidate debt on a lower interest<br><br> Borrower added on 01/13/13 > to pay off debt at a lower rate<br>,,,,3871337
Program Manager,5 years,,,,,15110279
Charter Oak Financial/MassMutual,10+ years,,,,,1400448
Buyer/Planner,6 years,,,,47.0,13208459
First Transit,3 years,,,,19.0,8339669
State Bar of Georgia,10+ years,  Borrower added on 10/06/11 > pay off credit cards<br/>,,,19.0,1202989
patient representative,1 year,,,,,10636948
General manager,< 1 year,,,,,70274980
Verizon Wireless,9 years,  Borrower added on 07/31/13 > Loan is to pay off car and to reduce credit card bills<br>,,,28.0,8134614
bartender,< 1 year,,,,43.0,24725483
,,,,,,15158850
US Coast Guard,10+ years,"  Borrower added on 07/10/12 > Greetings, this loan request is to consolidate all credit card payments in to one monthly payment.  I am not having any trouble at all paying bills (as reflected in my credit report and loan rating).  I just want to simplify and reduce interest rates.<br><br>  Borrower added on 07/14/12 > Paying $700.00 a month for 18 years on revolving credit is stupid....good business is $390 for 3 years.<br>",,,,1661824
TD Bank,4 years,In anticipation of co payments and or out of network charges I am requesting a loan to cover such fees for my up coming procedure.  Thank you for your interest.  ,,,59.0,491487
Staff Nurse,< 1 year,,,,10.0,13248415
manager,10+ years,,,,43.0,23903918
GreenPath,4 years,,,,,863008
Field Engineer,3 years,,,,,14518255
General Manager,2 years,,,,64.0,66216250
Claims Anayst,3 years,,,,3.0,40976380
Hospital University of Pennsylvania,3 years,,,,8.0,7007021
lead quality auditor,10+ years,,,,28.0,51462603
Driver,9 years,,,,45.0,36474938
Integration Engineer,< 1 year,,,41.7,,72647218
sacramento county,10+ years,,,,7.0,8708988
welder,1 year,,,,,54586817
"Manager, Dealer Agreements",10+ years,,,,25.0,58941959
Mechanic,1 year,,,,,71162046
Director for Hospital Services,2 years,,,,4.0,64373531
Regional Sales Manager,4 years,,,,1.0,25546466
General Manager,2 years,,,,49.0,15829867
Billing Lead,6 years,,,,2.0,58114385
Education Coordinator,2 years,,,,,58731465
AGRISOFT CMC,5 years,  Borrower added on 03/18/13 > Finished my college degrees and now focusing on getting my finances in order by paying off and closing all of my credit cards.<br>,,,17.0,4858620
Executive Pastor,10+ years,,,,,34371329
"Ross Stores, Inc",10+ years,,,,,852088
Caregiver,1 year,,,70.1,12.0,72239341
Washington University,3 years,  Borrower added on 09/07/13 > Paying off my credit card debt so I can start putting more of my money towards my 401 and ROTH. I've put myself through college at the Master level and finally have a good paying job. I looking forward to putting my youth behind me and focusing on taking care of my family and my future.<br>,,,59.0,8723878
Abtech Systems,10+ years,  Borrower added on 12/05/12 > I plan to use this loan to refinance existing loan and pay some credit card debt.  This will give me one easy to pay monthly payment. I have a very stable job and have been employed by my company for over 15 years.<br>,,,35.0,2827553
Principal,2 years,,,,4.0,70430109
Installation/Repair Technician,10+ years,,,,,41016234
Associate Director of Finance,6 years,,,,,62514296
Regional Revenue Manager,6 years,,,,33.0,9328005
Citibank,10+ years,"  Borrower added on 12/25/09 > I have a very secure/well paying job, as well as having savings/investments that will be used to back up this loan.<br/>",,,,595301
Systems Operator,8 years,,,,63.0,42466633
Agfa Gevert ,10+ years,"  Borrower added on 08/29/12 > This would be my third loan from lending club over the years and this loan is to consolidate all my existing credit debt into one lower interest payment to save me mony and get it paid off in a timely manner in 3 years as well as using $3,000 towards a corvette I am purchasing<br><br>  Borrower added on 09/03/12 > I feel I should add that I recently sold my summer car to buy the used corvette and the $3,000 was to make up the difference in price beyween the two.<br>",,,,1706981
clinician,< 1 year,,,,49.0,61497033
Editor,2 years,,,,,41115046
Internal Revenue Service,10+ years,"  Borrower added on 06/28/10 > Funds will payoff both a payday and a title loan which are completely toxic.  I have never been late nor defaulted on any loan, bill, or rent.  My total household expenses is $790 rent, @$30 phone bill, $140 auto insurance plus food and gas.  I have worked for the IRS in excess of 17 years.  I am not going anywhere.  I know I am overextended to some degree however I have no problems paying my outstanding bills and this will not present any problems especially if I can get rid of the above mentioned debts immediately.  They are killers.  (So help me G-d never ever again.)  Thank you for any consideration you can give to me.<br/>",,,,695030
,,"  Borrower added on 01/10/13 > Consolidation of many credit cards and having a difficult time making the payments, although I am current with everything.  This loan will take a big burden off my stress level<br><br> Borrower added on 01/10/13 > consolidation of many credit cards and too much stress<br>",,,36.0,3780559
Construction Superintendant ,9 years,,,,,64771169
Mechanic,8 years,,,,,15108253
Supervisor Assistant,< 1 year,,,,,37286626
Sales Manager,10+ years,,,,18.0,71198560
Store Manager,3 years,,,,,43395810
Parkside Associates,10+ years,  Borrower added on 09/05/12 > one payment instead of 6<br>,,,,1782152
Pharmacy Manager,7 years,,,,,43809005
Art Director,10+ years,,,,26.0,33679411
Snelson Co. inc,< 1 year,to pay off a high rate credit card and auto loan,,,34.0,158286
Dito,< 1 year,  Borrower added on 06/15/11 > Looking to consolidate my debt and reduce my credit card accounts. I'm willing to answer any questions you may have! Thanks!<br/>,,,,991788
Software Engineer,7 years,,,,,53243697
IT Director,3 years,,,,51.0,46386868
Firefighter/Basic,9 years,,,,,67758830
Injection Technician,5 years,,,,33.0,37085339
monitor on school bus,5 years,,,,15.0,43946859
CBT Developer,2 years,,,,23.0,37958077
Installer,4 years,,,,47.0,11961629
Director and Actuary,7 years,,,,,21188350
,,,,,48.0,23873425
electrical estimator,10+ years,,,,,58773750
Johnson & Johnson,5 years,,,,65.0,4590656
Valley Medical Center,< 1 year,"After an unexpected surgery, I have been faced with a few thousand dollars in medical expenses that I thought would be covered by my health insurance.  At the same time I am trying to pay off my high interest credit cards that I was not very responsible with a few years ago.  In the past six months I have put myself on a budget and taken steps to reduce my debt, however, the high interest rate I am paying on my credit card debt is a very prohibitive factor in paying these debts off in a timely manner.  If I were able to borrow money at a lower interest rate, I would be able to get out of debt quicker and work towards my goal of entering graduate school.  ",,,37.0,300025
Bus Driver,2 years,,,,,62645535
,,,,,13.0,41200407
FINANCIAL ACTUARY,2 years,,,,44.0,62654920
fabco,< 1 year,,,,38.0,5407699
TRUCKDRIVER/ MECANIC,10+ years,,,,134.0,21899621
Assoc. Chief Financial Officer,9 years,,,,,48422174
Personal trainer,4 years,,,,,58538916
Owner,8 years,,,,,62482888
,,  Borrower added on 06/13/12 > to pay off afew small debts and half of my credict cards<br>,,,64.0,1599858
Financial Analyst,10+ years,,,,,38691504
Sales Manager,9 years,,,,77.0,54158889
Sargeant,7 years,,,,22.0,39012493
Lecturer,5 years,,,97.7,,72529360
Supervisor,10+ years,,,,15.0,30174659
partner,10+ years,,,,67.0,25475676
BWMC,10+ years,,,,,9032445
NYCT/MABSTOA,10+ years,,,,,7008713
Account Executive,9 years,,,,,68671493
Server,5 years,,,,,15739761
"Business Consultant, Project Manager",10+ years,,,,22.0,37898222
,,,,,,5797119
Independent Contractor,1 year,,,,,70079758
J & C Tropicals,3 years,  Borrower added on 11/19/12 > consolidation<br>,,,31.0,2426592
biller/coder,2 years,,,,,20107238
Manager Business Development,< 1 year,,,,50.0,49890670
Welder,4 years,,,49.9,,72917442
Twin Rivers Unified School District ,8 years,,,,,1485938
FAA,10+ years,"  Borrower added on 07/17/12 > the loan is to consolidate 3 payments into one and pay it off in 3 years.  I've never been late on any of my commitments, and I never will.<br>",,,50.0,1661711
System Director,4 years,,,,,59590217
Financial Services Technician,3 years,,,,,67169434
Administrator,10+ years,,,,10.0,1250631
Operations Manager,5 years,,,,,22422919
Murphy Tractor and Equipment Company,10+ years,  Borrower added on 09/19/13 > Pay off existing Lending Club loan to get lower monthly payment and pay down or off a couple unsecured debts.<br>,,,81.0,9040687
Los Alamos National Lab,10+ years,,,,,682649
General Atomics,< 1 year,,,,,803090
SGMF,1 year,  Borrower added on 08/24/13 > Pay off debt quickly.<br>,,,,8529266
Branch Manager,6 years,,,,34.0,63038398
Warehouse clerk,5 years,"  Borrower added on 03/18/14 > Pay off credit cards, a small loan and the rest to give on a residential lot that I still own on it<br><br> Borrower added on 03/18/14 > To pay off credit cards, a small loan and the rest of the money to give to the principal of a residential lot that I bought<br>",,,,15010330
PRA,10+ years,,,,44.0,59762016
Jefferson Regional Medical Center,5 years,,,,,6029568
I and E Designer ,1 year,,,,,66382892
Technician ,7 years,,,,,46302236
Bus driver ,10+ years,,,62.9,32.0,72658272
Foreman,2 years,,,,67.0,63087652
,,,,,57.0,70740923
Program Coordinator,10+ years,,,,32.0,53898075
northstar fire protection,10+ years,  Borrower added on 12/09/11 > x-mas<br>,,,,1297966
Media / Lighting Director ,4 years,,,,,68780465
RN,5 years,,,,,54786061
Optical Manager,10+ years,,,,70.0,66115686
service support,2 years,,,,,41253252
Administrative Assistant,10+ years,,,,10.0,64822263
Sales ,10+ years,,,,,55338659
tech support,4 years,,,,,63068653
LPN,5 years,,,,6.0,51732983
,,,,,,35673320
,,,,,27.0,46516540
Plant Operations,9 years,,,,25.0,46816833
United Airlines,10+ years,"  Borrower added on 03/14/13 > I have over 20,000 in credit card debt I am trying to pay down<br>",,,,4722202
Technicician,10+ years,,,,55.0,10761832
Marketing officer,10+ years,,,,,43407586
Loan Doc Specialist,10+ years,,,,,12480011
Sergeant,7 years,,,,18.0,13380393
general manager,9 years,,,,,18434638
office manager,9 years,,,,,43936818
Executive Assistant,10+ years,,,,80.0,10391011
raw hide,< 1 year,,,,17.0,1188852
Executive Assistant,8 years,,,,,65438430
ZEAG America,5 years,,,,22.0,8079578
Sr. Project Manager,3 years,,,,66.0,65671196
Writer,4 years,,,,16.0,52841980
AccountMate Software,6 years,,,,42.0,1117501
Teacher,6 years,,,,,12031894
HR/Safety Manager,9 years,,,,76.0,49984766
Security Service,6 years,,,,,8527646
Fleet Manager,2 years,,,,,57558148
Caseworker,3 years,,,,,34041190
Environmental Driller,2 years,,,,,32658535
Malheur Drug #2,6 years,  Borrower added on 11/20/12 > Trying to consolidate big bills to small total bill.<br>,,,81.0,2425896
Sales,10+ years,,,,,69959647
Manager,6 years,,,,,43907901
National Geographic Publishing,< 1 year,"  Borrower added on 10/08/12 > Hello, <br><br>I am a longtime Lending Club customer. I have a great job with good credit. However, my score is being dragged down by high credit card balances. This loan would help me a great deal. Thank you.<br>",,,,1870034
UPS,10+ years,  Borrower added on 07/05/13 > I would like to pay off some credit card debt and federal income taxes.<br>,,,18.0,7670201
Seed Technichian,5 years,,,,,44005889
Medical Biller,4 years,,,,,14517998
Pharmacy technician,1 year,,,,,59055817
,< 1 year,,,,16.0,13968057
Speech Language Pathology Assistant,2 years,,,,,47874792
Home Depot,8 years,,,,,8733589
,7 years,,,,48.0,11527905
Aircraft Technician,< 1 year,,,,,34832281
pm,10+ years,,,,,32398116
J.M. Field Marketing,5 years,  Borrower added on 08/19/13 > Home improvement loan is to be used to update our kitchen and add a master bath to our house. I have a stable job which I have been working at for the past 5 years. We have low expenses and are always on time with our payments and financial obligations. Thank you for your consideration.<br>,,,,8339185
Consultant,< 1 year,,,,,31216536
pharmacy clerk,10+ years,,,,,41370903
Buckeye CableSystems,2 years,,,,,8560474
Senior Estimator,8 years,,,,,10356875
,,,,,38.0,43406001
Vice President,10+ years,,,,,53442847
Teacher,3 years,,,,9.0,26267534
Teacher,10+ years,,,,,63100086
Lending Manager,10+ years,,,,,43416619
"Forester Properties, Inc.",3 years,,,,,722607
"Director, Learning",8 years,,,,9.0,70641280
halifax country club,4 years,,,,,4171682
LPN,6 years,,,,43.0,16310953
Genuine Parts Company,10+ years,,,,,4849914
Engineer,9 years,,,,35.0,45280997
Bernard's salon,2 years,  Borrower added on 12/04/12 > I will use this loan to help consolidate some of my debt so I can get back to not worrying if I will be able to take care of myself and my family.  I have wonderful work ethic and dedication and always put in my 110%.  I have always been good with money and rarely miss a payment on my bills.<br>,,,,2733172
Advanced Repair Agent,1 year,,,,,64836554
Sprint,2 years,,,,,1028404
Huntington Ingalls Industries,10+ years,,,,69.0,8557774
asmo,9 years,,,,,16522161
Probation/Parole Agent,10+ years,,,,8.0,23643560
Senior Project Manager ,2 years,,,,13.0,67870919
Csc,4 years,,,,43.0,44857139
Buyer/Admin Asst,10+ years,,,,67.0,34963326
Partner,9 years,,,,35.0,58729296
electrician,10+ years,,,,37.0,23893925
Chef,10+ years,,,,19.0,53907707
Tax Associate,2 years,,,,,57535838
surgical tech,5 years,,,,53.0,10707815
Wells Fargo,10+ years,  Borrower added on 10/04/12 > Loan would be used to finish the final renovations on our home. We have done the projects as funds were available without using credit. After four years I'm ready to wrap up and enjoy our hard work.<br>,,,32.0,1852768
,,,,,38.0,42992701
Owner,10+ years,,,,,66394440
vice president,10+ years,,,,,39880682
Hedrick Brothers Construction,4 years,,,,35.0,998890
usps,10+ years,,,,,671134
John R Houck Co.,9 years,,,,32.0,8069377
Plant Manager III,10+ years,,,,19.0,63345035
server/ pastry,4 years,,,,,62969849
Manager,10+ years,,,,11.0,49724867
Director of Strategic Planning,9 years,,,,4.0,57095846
State Parole Agent ,10+ years,,,,6.0,62394691
IT Systems Administrator,10+ years,,,,,43560372
Customer Service Representative,8 years,  Borrower added on 10/08/13 > To payoff my Credit cards to close them.<br><br> Borrower added on 10/08/13 > My loan is for paying off my credit cards so that can close them! Thank you<br>,,,,9430964
Administrator,10+ years,,,,53.0,31005850
Owner,10+ years,,6.52,,5.0,71289995
mng,9 years,,,,,33730899
Teacher,3 years,,,,,43225366
Electronics Coordinator,10+ years,,,,,65429882
Fueler,< 1 year,,,,,54526658
Engineer,5 years,,,,11.0,39496128
Columbia University Medical Center,10+ years,  Borrower added on 04/15/13 > Consolidate my monthly bills in order to make one monthly payment.  This will allow me to manage my budget easier.  I have also been an employee for almost 12 years and have always been responsible with my bills. I also send extra funds when available in order to show professionalism and honesty.<br>,,,61.0,5492790
optician,5 years,,,,7.0,44113221
verizon,10+ years,,,,,8427208
ODOC,10+ years,  Borrower added on 08/15/13 > I want to pay off the high interest credit cards and accounts<br>,,,67.0,8438024
Dispatcher/911 Operator,9 years,,,,,45981274
Managing Director,7 years,,,,,53968182
VP,1 year,,,,17.0,21729041
CA Technologies,7 years,  Borrower added on 11/30/12 > I have a very high interest rate that I would like to pay down.<br>,,,8.0,2728805
,,,,,39.0,10297525
City Clerk,10+ years,,,,,61484856
Selector,< 1 year,,,83.3,,72087142
Auditor,5 years,,,,13.0,10752630
Quality Technician,6 years,,,,,9399517
Senior Nurse Practitioner,8 years,,,,21.0,38971448
driver,10+ years,,,,,10547516
IT Tech 2,6 years,,,,,23594032
Oakley,3 years,"  Borrower added on 04/04/11 > Auto loan for purchasing a used car.<br/> Borrower added on 04/07/11 > I appreciate the support so far! Payments on my previous car were $35/month than these will be, and considering my employer actually grew during the recession and is now more solid than ever, these will be easy payments for me to make on time, every time.<br/> Borrower added on 04/07/11 > Previous note should read &quot;Payments on my previous car were $35/month MORE than these will be.&quot;<br/>",,,,913586
Operations Supervisor,4 years,,,,80.0,65543480
Service food associate,8 years,  Borrower added on 12/10/13 > Paying off credit card<br>,,,,11626793
general manager,10+ years,,,,,66492571
post office,10+ years,,,,80.0,663575
Radiology Supervisor,10+ years,,,,64.0,15559144
pricer 7,10+ years,,,,26.0,32327308
General Manager,10+ years,,,,,62989683
CGI Technologis and Solutions INC,2 years,,,,,1416727
Chief Investment Strategist,10+ years,,,,,27189629
Operations Manager,10+ years,,,,,15079294
Senior HIT Specialist,8 years,,,,,65912293
Pharmacist,9 years,,,,,57738474
Admin Asst,8 years,,,,,13599338
Owner/Partner,5 years,,,,35.0,70258617
steward1,10+ years,,,,,64119966
Banker,10+ years,,,,26.0,40583869
Service tech,5 years,,,,,49223206
Inventory Analyst,7 years,,,,,26828068
Property Manager,3 years,,,,29.0,66036089
Import Coordinator,2 years,,,,54.0,37076569
Cashier,10+ years,,,,,35092174
Police Service Aid,3 years,,,,,12458385
Vice President,8 years,,,,,65437799
OTR Truck Driver,3 years,,,,,49913643
Sr. Clinical Team Manager,10+ years,,,,,43935308
Billing,2 years,,,,18.0,25736068
IT Project Leader,3 years,,,,74.0,25476496
Owner and Operator,2 years,,,,56.0,23913943
Associate Director of Bands,5 years,,,,,58861540
Director of Innovation,< 1 year,,,,,42782343
clinical staff,10+ years,,,,48.0,58769059
Customer Service Rep,2 years,,,,,9429017
Registered Nurse ,10+ years,,,,45.0,53816391
Eisenhower Nursing and Convalescent Hosp,< 1 year,,,,,8730630
Legal Secretary,5 years,,,,43.0,9867392
Bartender,1 year,,,,,11007301
Data Loss Prevention leader,10+ years,,,,82.0,61545909
District manager,< 1 year,,,54.3,14.0,73405751
Solution Specialist,3 years,,,,34.0,22009356
Office Manager,1 year,,,,36.0,10837458
Production planning manager,10+ years,,,,33.0,30005488
customer service representative ,1 year,,,,8.0,70600749
Athletic Director/Coach/Faculty,10+ years,,,,73.0,46496278
UniFocus ,10+ years,  Borrower added on 04/13/13 > I want to rid myself of credit card debt and consolidate into one payment<br><br> Borrower added on 04/13/13 > Loan to consolidate credit card debt into one payment<br>,,,18.0,5491319
VF Corp,1 year,,,,,916377
Bolder Inc,< 1 year,"  Borrower added on 06/14/11 > Hi Investors - I'm carrying an 8K balance on my credit cards at 18% interest with 2 major financial institutions. They came from buying a computer and paying for additional graduate school expenses.  I'd rather pay you 10%! I also need to buy a car for my new job. I estimate 4K to get something used but reliable with decent gas mileage. I have a BA already and MBA in progress.  I understand the fundamentals of finance and am looking forward to building a good credit history in taking and paying off this loan. It will be my first personal loan.  My new job is in business development with a start up company growing quickly.  My compensation agreement provides a reliable, moderate income base salary with a strong performance incentive structure. This personal loan would help me get more rapidly into a sound financial position and make me much more content about who I am paying interest to! I look forward to doing business with you. Thank you very much.<br/> look forward to doing business with you and paying interest to my peers rather than multinational institutions.<br/>",,,64.0,984555
scientel wireless,2 years,  Borrower added on 02/02/10 > Consolidation of two credit cards. I have good credit and a stable job<br/>,,,,612005
,10+ years,,,,67.0,9431727
Diageo Global Supply,10+ years,  Borrower added on 08/21/12 > Finishing up home improvements / credit card consolidation<br>,,,,1750304
evidenceevidence/ crime scene tech,6 years,,,,,12024314
Sr Mkt Manager,3 years,,,,15.0,11498076
Sales,4 years,,,,,25235590
Assistant Suppervisor,10+ years,,,,,67813229
,,,,,29.0,54188851
Camera technician/Repair coordinator,10+ years,  Borrower added on 11/19/13 > Need the money for some new home furnishings and car repairs<br>,,,,10752607
Technician,10+ years,,,,6.0,30965525
Event Trchnology Specialist,2 years,,,,8.0,24556044
RTV clerk,10+ years,,,,,40935419
Asst Regional Manager,10+ years,,,,38.0,59116678
Metropolitan Group,3 years,,,,4.0,7652268
Sales Associate,10+ years,,,,29.0,62958251
Driver,1 year,,,,,41228492
Director,3 years,,,,31.0,9420855
ISS,< 1 year,,,,40.0,16632890
Assembly ,< 1 year,,,81.2,,72059065
Driver,3 years,,,,32.0,49778778
Teacher,7 years,,,,,14838494
HSBC,6 years,  Borrower added on 06/03/13 > Trying to simplify and consolidate. One monthly payment instead of 10 in order to paydown sooner and get out of debt.<br>,,,,7012578
usf holland,10+ years,"  Borrower added on 09/19/12 > loan to pay all outstanding debts,  <br>lines of credit , credit cards, personal bank loans. <br>  other than $60.000 home loan<br>",,,,1811604
Owner,10+ years,,,,4.0,18565324
Supervisor,10+ years,,,,61.0,58549520
carpenter,10+ years,,,,,23382301
VP,10+ years,,,,,10847658
MVP sales,10+ years,,,,11.0,1235917
Hoselton Auto mall,7 years,,,,,3639235
EVS Attendant,1 year,,,,,28642893
"inspector, tool & gage",10+ years,,,,,15238865
Transporter,3 years,,,,67.0,21379683
Accountant,5 years,,,,,51876683
Social Worker,6 years,,,,20.0,69535848
doctors office,4 years,  Borrower added on 11/18/12 > I have placed myself in debt due to helping out family and friends when they are in need of financial help. Unfortunately I don't have any one to turn to for myself.  I pride myself on paying my bills before they due but don't have the funds I would like to pay them off in full.  I really need help.<br><br> Borrower added on 11/18/12 > I have placed myself in debt by helping out family and friends when they are in need of financial help. Unfortunately I have no one to help me.  I pride myself on paying my bills before they are due but I am unable to pay them off in full. I really need help. Thankyou for your consideration.<br>,,,76.0,2434617
Administrator,10+ years,,,,59.0,54035104
Manager,1 year,,,,43.0,68400269
Franks j&d pizzeria,10+ years,,,,,7757179
,,,,,76.0,17512053
Insurance Sales Producer,10+ years,,,,,27719986
Editor,5 years,,,,,19555857
IS analyst,4 years,,,,33.0,41211455
Associate Director,2 years,,,,16.0,49782845
CFO,10+ years,,,,,69981496
Euro-American Tours,6 years,,,,73.0,1084121
overnight stocker,10+ years,,,,55.0,26326302
Problem Case Officer,10+ years,,,,23.0,65005297
Project Superintendent,9 years,,,,,51702848
RCM Health Care,6 years,  Borrower added on 10/02/12 > I am currently waiting for placement from my job( for almost 2 months now) and the bills are piling up - will really appreciate this boost if granted<br><br>  Borrower added on 10/05/12 > Thank you for the warm response!<br>,,,,1854227
Deputy Sheriff,10+ years,,,92.0,,72768560
